ID,Name,Moderator,Location,Skills,Description,Priority,Date,Published
9,Senior Tech Help,claralo,"99999 Help Ct, Houston, TX 77028","Event Planning,Tech Support",Assist seniors with devices.,1,Saturday  2025-08-30,Friday    2025-08-15 10:00:00
1,Health Fair,alicej,"11111 Wellness Rd, Houston, TX 77020","Communication,First Aid",Community health awareness event.,5,Sunday    2025-08-10,Friday    2025-08-01 12:00:00
8,Mobile Clinic,claralo,"88888 Health Dr, Houston, TX 77027","Communication,First Aid",Provide first aid to remote communities.,5,Tuesday   2025-08-12,Sunday    2025-08-03 11:00:00
32,Houston Food Bank,ImperialUdon,"535 Portwall St, Houston, TX 77029","coordination,driving,scheduling",Help other volunteers package and deliver supplies to neighborhoods.,4,Friday    2025-08-08,Friday    2025-08-08 18:04:34
2,Disaster Drill,alicej,"22222 Safety Blvd, Houston, TX 77021","Coordination,Logistics",Simulated emergency drill.,4,Friday    2025-08-15,Saturday  2025-08-02 09:00:00
5,Food Drive,bobsmith,"55555 Giveback Ln, Houston, TX 77024","Driving,Teamwork",Collecting food for the needy.,4,Monday    2025-08-18,Tuesday   2025-08-05 13:00:00
20,Triage Hospice,ImperialUdon,"1000 Bellaire Drive, Houston, TX 77083","communication,coordination,driving",Assist patients with care and administrative work. ,4,Saturday  2025-08-09,Friday    2025-08-08 05:20:23
19,UH Flea Market,ImperialUdon,"1000 Kirby Dr, Houston, TX 77083","communication,logistics,translation","Help students, staff, and volunteers set up marketplace.",3,Friday    2025-08-08,Friday    2025-08-08 05:13:05
6,Coordination Workshop,bobsmith,"66666 Teamwork Rd, Houston, TX 77025","Coordination,Scheduling",Workshop on planning events.,3,Friday    2025-08-22,Friday    2025-08-08 10:00:00
10,Translation Station,davidn,"12121 Language Rd, Houston, TX 77029","Scheduling,Translation",Volunteers provide translation support.,3,Saturday  2025-08-16,Monday    2025-08-04 12:00:00
3,Neighborhood Cleanup,alicej,"33333 Clean St, Houston, TX 77022","Cleaning,Driving",Cleanup and beautification.,3,Wednesday 2025-08-20,Tuesday   2025-08-05 10:00:00
4,Tech Training,alicej,"44444 Learn Ave, Houston, TX 77023","Scheduling,Tech Support",Training volunteers in tech skills.,2,Monday    2025-08-25,Sunday    2025-08-10 14:00:00
7,Language Exchange,bobsmith,"77777 Translate Blvd, Houston, TX 77026","Communication,Translation",Help bridge communication gaps.,2,Thursday  2025-08-28,Tuesday   2025-08-12 14:00:00
33,Firefighting Training,rkanch,2312 Mir Blackwell St,,Now with added realism,1,Monday    2023-12-25,Friday    2025-08-08 19:12:07
